City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Cape Town,ZA,-33.9258,18.4232,58.87,82,75,1.01,light rain,0.29,0.0
1,Port Alfred,ZA,-33.5906,26.891,57.85,88,43,11.45,scattered clouds,0.0,0.0
2,Atuona,PF,-9.8,-139.0333,78.28,75,13,21.63,few clouds,0.0,0.0
3,Mount Isa,AU,-20.7333,139.5,89.37,20,10,11.5,clear sky,0.0,0.0
4,Baza,ES,37.4907,-2.7726,65.43,81,0,1.01,clear sky,0.0,0.0
5,Butaritari,KI,3.0707,172.7902,83.32,64,6,11.77,clear sky,0.0,0.0
6,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,28.77,few clouds,0.0,0.0
7,Provideniya,RU,64.3833,-173.3,37.51,48,40,15.66,scattered clouds,0.0,0.0
8,Wanning,CN,18.8003,110.3967,86.5,68,5,6.04,clear sky,0.0,0.0
9,Calama,CL,-22.4667,-68.9333,55.02,23,28,4.05,scattered clouds,0.0,0.0
10,Lekoni,GA,-1.5843,14.2591,71.98,84,98,1.41,overcast clouds,0.0,0.0
11,Sampit,ID,-2.5333,112.95,85.89,60,52,4.94,broken clouds,0.0,0.0
12,Rikitea,PF,-23.1203,-134.9692,74.01,76,10,12.03,clear sky,0.0,0.0
13,Kavieng,PG,-2.5744,150.7967,84.34,69,99,6.17,overcast clouds,0.0,0.0
14,Katsuura,JP,35.1333,140.3,78.84,61,40,18.41,scattered clouds,0.0,0.0
15,Kapaa,US,22.0752,-159.319,80.92,73,75,3.0,broken clouds,0.0,0.0
16,Udachnyy,RU,66.4167,112.4,34.66,62,100,12.01,overcast clouds,0.0,0.0
17,Busselton,AU,-33.65,115.3333,56.05,57,0,13.98,clear sky,0.0,0.0
18,Pangnirtung,CA,66.1451,-65.7125,31.06,82,17,8.7,few clouds,0.0,0.0
19,Aklavik,CA,68.2191,-135.0107,47.23,54,9,4.99,clear sky,0.0,0.0
20,Vaini,TO,-21.2,-175.2,77.16,78,40,11.5,scattered clouds,0.0,0.0
21,Avarua,CK,-21.2078,-159.775,78.85,73,20,11.5,few clouds,0.0,0.0
22,Trairi,BR,-3.2778,-39.2689,78.28,78,69,13.18,broken clouds,0.0,0.0
23,San Cristobal,VE,7.7669,-72.225,75.38,97,81,2.28,broken clouds,0.0,0.0
24,Mangrol,IN,21.1167,70.1167,80.53,86,20,4.94,few clouds,0.0,0.0
25,Ushuaia,AR,-54.8,-68.3,40.66,75,75,16.11,broken clouds,0.0,0.0
26,Kokopo,PG,-4.352,152.2633,85.82,62,48,9.48,scattered clouds,0.0,0.0
27,Severo-Kurilsk,RU,50.6789,156.125,51.82,75,53,17.18,broken clouds,0.0,0.0
28,Nikolskoye,RU,59.7035,30.7861,40.89,82,100,8.75,overcast clouds,0.0,0.0
29,Mataura,NZ,-46.1927,168.8643,57.2,59,98,8.43,overcast clouds,0.0,0.0
30,Touros,BR,-5.1989,-35.4608,77.9,72,98,15.52,overcast clouds,0.0,0.0
31,Hermanus,ZA,-34.4187,19.2345,55.9,78,27,15.64,scattered clouds,0.0,0.0
32,Port Macquarie,AU,-31.4333,152.9167,75.16,32,0,7.78,clear sky,0.0,0.0
33,Ponta Do Sol,PT,32.6667,-17.1,72.23,74,55,6.11,broken clouds,0.0,0.0
34,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,53,20,14.97,few clouds,0.0,0.0
35,Castro,BR,-24.7911,-50.0119,65.91,86,100,2.93,overcast clouds,0.0,0.0
36,Edd,ER,13.9297,41.6925,89.15,54,92,5.59,overcast clouds,0.0,0.0
37,Tranas,SE,58.0372,14.9782,47.43,84,92,6.04,overcast clouds,0.0,0.0
38,Geraldton,AU,-28.7667,114.6,70.21,46,0,21.85,clear sky,0.0,0.0
39,Hilo,US,19.7297,-155.09,82.27,76,90,6.91,overcast clouds,0.0,0.0
40,Turukhansk,RU,65.8167,87.9833,39.88,92,100,4.54,light rain,0.16,0.0
41,Byron Bay,AU,-28.65,153.6167,85.71,54,19,16.37,few clouds,0.0,0.0
42,Cockburn Town,TC,21.4612,-71.1419,83.07,75,94,16.96,overcast clouds,0.0,0.0
43,Skovorodino,RU,53.9833,123.9167,55.71,65,51,4.72,broken clouds,0.0,0.0
44,Albany,US,42.6001,-73.9662,58.53,86,0,2.84,clear sky,0.0,0.0
45,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,6.91,few clouds,0.0,0.0
46,Bluff,NZ,-46.6,168.3333,54.27,68,99,16.96,overcast clouds,0.0,0.0
47,Fortuna,US,40.5982,-124.1573,67.19,67,1,12.66,clear sky,0.0,0.0
48,Roald,NO,62.5833,6.1333,55.9,100,75,3.44,broken clouds,0.0,0.0
49,Guacamayas,MX,18.0167,-102.2167,78.58,85,31,0.56,scattered clouds,0.0,0.0
50,Torbay,CA,47.6666,-52.7314,54.75,97,90,20.71,moderate rain,3.73,0.0
51,Clyde River,CA,70.4692,-68.5914,28.62,61,83,2.01,broken clouds,0.0,0.0
52,Inhambane,MZ,-23.865,35.3833,65.32,73,0,7.74,clear sky,0.0,0.0
53,Cherskiy,RU,68.75,161.3,35.44,47,100,10.09,overcast clouds,0.0,0.0
54,Yar-Sale,RU,66.8333,70.8333,30.74,91,31,19.66,scattered clouds,0.0,0.0
55,Namibe,AO,-15.1961,12.1522,60.1,87,12,6.73,few clouds,0.0,0.0
56,Meulaboh,ID,4.1363,96.1285,77.52,83,100,4.41,overcast clouds,0.0,0.0
57,Saint George,US,37.1041,-113.5841,90.19,10,1,8.05,clear sky,0.0,0.0
58,Santa Rosa,PH,14.3122,121.1114,84.09,71,100,3.87,overcast clouds,0.0,0.0
59,Oxelosund,SE,58.6706,17.1015,48.13,69,100,11.54,overcast clouds,0.0,0.0
60,Bermeo,ES,43.4209,-2.7215,61.83,81,61,13.38,broken clouds,0.0,0.0
61,Lavrentiya,RU,65.5833,-171.0,33.71,60,67,14.05,broken clouds,0.0,0.0
62,Tanout,NE,14.9709,8.8879,86.99,16,2,8.05,clear sky,0.0,0.0
63,Kruisfontein,ZA,-34.0033,24.7314,51.37,89,0,7.02,clear sky,0.0,0.0
64,Hobart,AU,-42.8794,147.3294,54.05,59,40,4.0,moderate rain,1.25,0.0
65,Glen Allen,US,37.666,-77.5064,74.21,82,76,1.01,broken clouds,0.0,0.0
66,Airai,TL,-8.9266,125.4092,75.2,36,14,6.33,few clouds,0.0,0.0
67,Ayagoz,KZ,47.9714,80.4392,42.4,59,0,7.83,clear sky,0.0,0.0
68,Shingu,JP,33.7333,135.9833,80.91,70,37,6.67,scattered clouds,0.0,0.0
69,Bulgan,MN,48.8125,103.5347,55.0,76,3,3.98,clear sky,0.0,0.0
70,Victoria,HK,22.2855,114.1577,90.97,83,11,5.95,few clouds,0.0,0.0
71,Terney,RU,45.0503,136.6092,65.8,34,42,1.86,scattered clouds,0.0,0.0
72,Paray-Le-Monial,FR,46.4546,4.1158,59.97,94,90,8.05,overcast clouds,0.0,0.0
73,Port Lincoln,AU,-34.7333,135.8667,53.42,60,100,23.67,overcast clouds,0.0,0.0
74,Madanapalle,IN,13.55,78.5,78.76,60,100,2.73,overcast clouds,0.0,0.0
75,Arraial Do Cabo,BR,-22.9661,-42.0278,71.8,87,100,12.26,overcast clouds,0.0,0.0
76,Tucuman,AR,-26.8241,-65.2226,77.0,50,99,3.44,smoke,0.0,0.0
77,Te Anau,NZ,-45.4167,167.7167,44.47,93,100,5.66,overcast clouds,0.0,0.0
78,Faya,SA,18.3851,42.4509,64.51,24,0,2.73,clear sky,0.0,0.0
79,Porto Novo,BJ,6.4965,2.6036,80.42,89,100,4.68,light rain,0.62,0.0
80,Jamestown,US,42.097,-79.2353,64.04,79,1,1.01,clear sky,0.0,0.0
81,Hovd,MN,48.0056,91.6419,63.28,33,33,7.05,scattered clouds,0.0,0.0
82,Lagoa,PT,39.05,-27.9833,69.28,62,100,10.92,overcast clouds,0.0,0.0
83,Motygino,RU,58.1831,94.7592,49.39,87,100,3.15,overcast clouds,0.0,0.0
84,Victor Harbor,AU,-35.5667,138.6167,58.91,71,45,3.0,moderate rain,1.27,0.0
85,Norman Wells,CA,65.282,-126.8329,48.24,71,75,6.91,broken clouds,0.0,0.0
86,Cotacachi,EC,0.3,-78.2667,56.75,90,49,2.93,light rain,0.13,0.0
87,Tokur,RU,53.1333,132.9,44.65,61,94,10.16,overcast clouds,0.0,0.0
88,Mar Del Plata,AR,-38.0023,-57.5575,55.42,100,90,8.05,overcast clouds,0.0,0.0
89,Talnakh,RU,69.4865,88.3972,34.47,77,100,8.63,overcast clouds,0.0,0.0
90,Kaitangata,NZ,-46.2817,169.8464,58.86,52,99,4.07,overcast clouds,0.0,0.0
91,Lamu,KE,-2.2717,40.902,76.15,82,12,15.93,few clouds,0.0,0.0
92,Fallon,US,39.4735,-118.7774,67.44,26,55,17.92,broken clouds,0.0,0.0
93,Necochea,AR,-38.5473,-58.7368,53.04,90,100,12.48,moderate rain,1.54,0.0
94,Iqaluit,CA,63.7506,-68.5145,28.13,86,40,8.05,scattered clouds,0.0,0.0
95,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,44,4.0,scattered clouds,0.0,0.0
96,Barrow,US,71.2906,-156.7887,30.22,86,90,16.11,snow,0.0,0.51
97,Bemidji,US,47.4736,-94.8803,79.09,92,98,13.15,overcast clouds,0.0,0.0
98,Georgetown,MY,5.4112,100.3354,82.33,85,20,4.61,few clouds,0.0,0.0
99,Kulhudhuffushi,MV,6.6221,73.07,82.33,77,52,9.91,broken clouds,0.0,0.0
100,Labuhan,ID,-6.8844,112.2051,86.13,56,4,3.49,clear sky,0.0,0.0
101,Laguna,US,38.421,-121.4238,78.98,38,1,4.0,clear sky,0.0,0.0
102,Bima,ID,-8.4667,118.7167,88.12,56,98,4.72,overcast clouds,0.0,0.0
103,Mayumba,GA,-3.432,10.6554,73.67,83,96,3.2,overcast clouds,0.0,0.0
104,Nanortalik,GL,60.1432,-45.2371,37.06,90,44,9.75,scattered clouds,0.0,0.0
105,Sept-Iles,CA,50.2001,-66.3821,52.32,75,20,4.0,few clouds,0.0,0.0
106,Bredasdorp,ZA,-34.5322,20.0403,49.32,87,0,4.61,clear sky,0.0,0.0
107,Nemuro,JP,43.3236,145.575,66.63,68,29,5.88,scattered clouds,0.0,0.0
108,Dikson,RU,73.5069,80.5464,35.33,76,100,17.81,overcast clouds,0.0,0.0
109,Qaanaaq,GL,77.484,-69.3632,10.62,82,19,7.45,few clouds,0.0,0.0
110,Santa Cruz Del Sur,CU,20.7147,-77.9956,80.31,79,88,13.65,overcast clouds,0.0,0.0
111,Asau,RO,46.4333,26.4,48.96,96,8,2.33,clear sky,0.0,0.0
112,Algemesi,ES,39.1833,-0.4333,72.37,78,4,3.09,clear sky,0.0,0.0
113,Hofn,IS,64.2539,-15.2082,50.56,97,100,21.63,overcast clouds,0.0,0.0
114,New Norfolk,AU,-42.7826,147.0587,53.71,66,64,8.01,light rain,0.32,0.0
115,Bengkulu,ID,-3.8004,102.2655,78.82,77,57,0.43,broken clouds,0.0,0.0
116,Hithadhoo,MV,-0.6,73.0833,82.83,73,56,6.44,broken clouds,0.0,0.0
117,Lorengau,PG,-2.0226,147.2712,85.84,66,82,7.14,broken clouds,0.0,0.0
118,Pochutla,MX,15.7432,-96.4661,76.44,87,99,2.98,overcast clouds,0.0,0.0
119,Kahului,US,20.8947,-156.47,86.02,49,40,25.32,scattered clouds,0.0,0.0
120,Saldanha,ZA,-33.0117,17.9442,57.25,85,97,14.7,light rain,0.16,0.0
121,Carnarvon,AU,-24.8667,113.6333,78.87,14,0,21.85,clear sky,0.0,0.0
122,Ribeira Grande,PT,38.5167,-28.7,70.21,66,33,13.15,scattered clouds,0.0,0.0
123,Merauke,ID,-8.4667,140.3333,81.5,76,99,11.21,overcast clouds,0.0,0.0
124,Grand Forks,US,47.9417,-97.4337,69.58,39,81,2.89,broken clouds,0.0,0.0
125,Cayenne,GF,4.9333,-52.3333,83.08,79,0,4.0,clear sky,0.0,0.0
126,Zhuhai,CN,22.2769,113.5678,86.79,84,20,3.44,few clouds,0.0,0.0
127,Ilulissat,GL,69.2167,-51.1,15.85,70,100,6.71,overcast clouds,0.0,0.0
128,Gewane,ET,10.1664,40.6453,83.55,42,2,6.33,clear sky,0.0,0.0
129,Ahipara,NZ,-35.1667,173.1667,60.75,64,0,7.83,clear sky,0.0,0.0
130,Leningradskiy,RU,69.3833,178.4167,29.1,82,98,18.97,overcast clouds,0.0,0.0
131,Bethel,US,41.3712,-73.414,63.55,87,0,3.62,clear sky,0.0,0.0
132,Panaba,MX,21.2833,-88.2667,82.24,65,71,8.86,broken clouds,0.0,0.0
133,Tasiilaq,GL,65.6145,-37.6368,23.81,70,35,4.23,scattered clouds,0.0,0.0
134,Naze,JP,28.3667,129.4833,81.52,65,7,3.76,clear sky,0.0,0.0
135,Saint Anthony,US,45.0205,-93.218,82.33,58,40,4.0,scattered clouds,0.0,0.0
136,Navoi,UZ,40.0844,65.3792,58.48,38,0,2.3,clear sky,0.0,0.0
137,Lompoc,US,34.6391,-120.4579,71.22,76,1,20.71,clear sky,0.0,0.0
138,Atambua,ID,-9.1061,124.8925,85.24,43,16,4.45,few clouds,0.0,0.0
139,Constitucion,CL,-35.3333,-72.4167,48.56,85,0,9.46,clear sky,0.0,0.0
140,Hof,DE,50.3167,11.9167,49.46,81,86,3.0,overcast clouds,0.0,0.0
141,Upernavik,GL,72.7868,-56.1549,24.91,64,97,8.86,overcast clouds,0.0,0.0
142,Coahuayana,MX,18.7333,-103.6833,77.38,87,97,2.37,overcast clouds,0.0,0.0
143,Cabra,ES,37.4725,-4.4421,68.9,67,0,3.06,clear sky,0.0,0.0
144,Eqbaliyeh,IR,35.3022,51.5358,75.02,20,0,6.31,clear sky,0.0,0.0
145,Sayyan,YE,15.1718,44.3244,62.22,34,77,2.68,broken clouds,0.0,0.0
146,Cachoeirinha,BR,-29.9511,-51.0939,72.7,91,75,19.57,broken clouds,0.0,0.0
147,Chicama,PE,-7.8447,-79.1469,59.54,81,64,6.89,broken clouds,0.0,0.0
148,Souillac,MU,-20.5167,57.5167,68.38,60,20,6.91,few clouds,0.0,0.0
149,Port Elizabeth,ZA,-33.918,25.5701,56.53,87,2,8.99,clear sky,0.0,0.0
150,Oga,IT,46.4631,10.347,41.68,97,100,6.73,overcast clouds,0.0,0.0
151,Rio Grande,BR,-32.035,-52.0986,66.94,99,100,11.43,overcast clouds,0.0,0.0
152,Chuy,UY,-33.6971,-53.4616,62.4,98,100,5.84,moderate rain,1.1,0.0
153,Belaya Gora,RU,68.5333,146.4167,33.12,57,100,12.97,overcast clouds,0.0,0.0
154,Lamont,US,35.2597,-118.9143,80.83,52,3,8.05,clear sky,0.0,0.0
155,Alofi,NU,-19.0595,-169.9187,82.29,69,2,6.91,light rain,0.28,0.0
156,Darhan,MN,49.4867,105.9228,58.73,70,0,6.11,clear sky,0.0,0.0
157,Portland,US,45.5234,-122.6762,64.35,81,75,1.99,broken clouds,0.0,0.0
158,Bambous Virieux,MU,-20.3428,57.7575,68.25,60,20,6.91,few clouds,0.0,0.0
159,Hare Bay,CA,48.8499,-54.0148,51.15,90,100,14.74,overcast clouds,0.0,0.0
160,Havelock,US,34.8791,-76.9013,78.93,91,86,6.04,overcast clouds,0.0,0.0
161,Narsaq,GL,60.9167,-46.05,36.99,87,77,2.98,broken clouds,0.0,0.0
162,Lebu,CL,-37.6167,-73.65,47.64,82,0,15.28,clear sky,0.0,0.0
163,Katobu,ID,-4.9408,122.5276,72.48,96,100,4.03,overcast clouds,0.0,0.0
164,Isangel,VU,-19.55,169.2667,80.71,57,75,11.5,broken clouds,0.0,0.0
165,Dingle,PH,10.9995,122.6711,83.17,77,87,4.45,overcast clouds,0.0,0.0
166,Batagay,RU,67.6333,134.6333,33.67,71,63,3.18,broken clouds,0.0,0.0
167,Culebra,PR,18.303,-65.301,80.64,75,3,13.65,clear sky,0.0,0.0
168,Hobyo,SO,5.3505,48.5268,76.91,85,26,21.0,scattered clouds,0.0,0.0
169,Inuvik,CA,68.3499,-133.7218,47.26,42,20,4.61,few clouds,0.0,0.0
170,Zhigansk,RU,66.7697,123.3711,35.19,66,17,11.61,few clouds,0.0,0.0
171,Petatlan,MX,17.5167,-101.2667,77.11,90,59,1.79,broken clouds,0.0,0.0
172,Bardiyah,LY,31.7561,25.0865,77.0,76,0,5.99,clear sky,0.0,0.0
173,Luganville,VU,-15.5333,167.1667,79.0,74,82,13.69,broken clouds,0.0,0.0
174,Skjervoy,NO,70.0311,20.9714,45.9,69,100,12.97,overcast clouds,0.0,0.0
175,Eldorado,BR,-23.7869,-54.2836,78.22,45,100,5.61,overcast clouds,0.0,0.0
176,Buchanan,LR,5.8808,-10.0467,75.99,89,100,5.77,moderate rain,1.41,0.0
177,Paamiut,GL,61.994,-49.6678,36.07,81,93,12.88,overcast clouds,0.0,0.0
178,Beisfjord,NO,68.3751,17.5988,46.26,81,96,9.1,overcast clouds,0.0,0.0
179,Bandarbeyla,SO,9.4942,50.8122,77.85,78,100,21.52,overcast clouds,0.0,0.0
180,Tiksi,RU,71.6872,128.8694,34.86,70,88,19.08,overcast clouds,0.0,0.0
181,Ust-Nera,RU,64.5667,143.2,35.83,85,94,8.03,overcast clouds,0.0,0.0
182,Cabo San Lucas,MX,22.8909,-109.9124,86.5,76,8,1.99,clear sky,0.0,0.0
183,Show Low,US,34.2542,-110.0298,72.3,47,1,10.36,clear sky,0.0,0.0
184,Pacific Grove,US,36.6177,-121.9166,72.0,87,5,8.01,clear sky,0.0,0.0
185,Klaksvik,FO,62.2266,-6.589,50.92,87,11,17.85,few clouds,0.0,0.0
186,Sitka,US,57.0531,-135.33,55.17,75,27,3.87,scattered clouds,0.0,0.0
